personal_code,product_number
1931-05-14-0004,5100148070294587
1975-04-14-0036,5100140553753288
2017-10-30-0035,5100177720106768
1910-09-27-7834,5100174100138222
1940-05-24-0002,5100147108134542
2015-09-17-0003,5100144154178960
2014-10-01-0040,5100149528096608
1932-05-25-0021,5100175854119409
1908-01-02-0017,5100140553753288
2016-11-14-0038,5100175854119409
1921-11-13-0023,5100177720106768
2008-03-04-0007,5100175497684454
1960-06-29-0018,5100136474971488
2003-10-21-0034,5100174100138222
1920-08-20-0016,5100131306731994
1910-04-10-0032,5100133454026508
1902-05-03-0006,5100141101316677
1971-08-15-0025,5100170292589040
1980-12-09-0013,5100139171504008
1947-02-05-0012,5100143716855230
2008-07-26-0019,5100133759460212
2019-01-01-0027,5100145287738802
1972-06-29-0039,5100149547934623
1982-03-23-0001,5100175497684454
1938-07-25-0014,5100178236803880
1939-04-12-0022,5100174290682393
1905-09-20-0008,5100134495803228
1994-08-26-0029,5100135736184724
1925-01-16-0005,5100143509026924
1930-01-10-0037,5100136435344635
1973-08-07-0024,5100131591657011
1921-02-09-0011,5100140102378546
1963-09-28-0015,5100176059539193
1970-11-08-0020,5100133759460212
1931-05-14-0004,5100133454026508
2017-10-30-0035,5100144154178960
1910-09-27-7834,5100176059539193
1940-05-24-0002,5100177720106768
2014-10-01-0040,5100175854119409
1938-01-22-0028,5100179457607877
1908-01-02-0017,5100135736184724
2016-11-14-0038,5100140553753288
2008-03-04-0007,5100178236803880
1960-06-29-0018,5100141444482194
2003-10-21-0034,5100143716855230
1920-08-20-0016,5100144154178960
1910-04-10-0032,5100136035476142
1902-05-03-0006,5100139171504008
1971-08-15-0025,5100133759460212
2013-10-29-0031,5100177720106768
1980-12-09-0013,5100172538567152
2008-07-26-0019,5100174290682393
2019-01-01-0027,5100175497684454
1972-06-29-0039,5100141444482194
1982-02-08-0026,5100141101316677
1982-03-23-0001,5100143716855230
1938-07-25-0014,5100143716855230
1979-02-12-0010,5100172737751284
1939-04-12-0022,5100136435344635
1940-06-24-0030,5100136474971488
1905-09-20-0008,5100141101316677
1994-08-26-0029,5100140553753288
1983-07-24-0033,5100136035476142
1925-01-16-0005,5100144154178960
1930-01-10-0037,5100145287738802
1973-08-07-0024,5100133454026508
1921-02-09-0011,5100133454026508
1963-09-28-0015,5100134458786071
1970-11-08-0020,5100149528096608
1931-05-14-0004,5100172737751284
1975-04-14-0036,5100149547934623
2017-10-30-0035,5100179457607877
1940-05-24-0002,5100130003850628
2015-09-17-0003,5100176843773819
2014-10-01-0040,5100172737751284
1932-05-25-0021,5100132678004333
1938-01-22-0028,5100174290682393
2016-11-14-0038,5100149547934623
1921-11-13-0023,5100172737751284
2008-03-04-0007,5100147108134542
1960-06-29-0018,5100174290682393
2003-10-21-0034,5100136474971488
1920-08-20-0016,5100175497684454
1910-04-10-0032,5100173919196082
1902-05-03-0006,5100133759460212
1971-08-15-0025,5100149528096608
2013-10-29-0031,5100136435344635
1947-02-05-0012,5100131306731994
2008-07-26-0019,5100176059539193
2019-01-01-0027,5100177720106768
1982-02-08-0026,5100178236803880
1982-03-23-0001,5100141444482194
1938-07-25-0014,5100130003850628
1939-04-12-0022,5100177720106768
1940-06-24-0030,5100177720106768
1994-08-26-0029,5100132678004333
1925-01-16-0005,5100130003850628
1930-01-10-0037,5100149547934623
1973-08-07-0024,5100148070294587
1921-02-09-0011,5100135736184724
1963-09-28-0015,5100147108134542
1970-11-08-0020,5100143509026924
1931-05-14-0004,5100174100138222
1975-04-14-0036,5100136435344635
1910-09-27-7834,5100140713963710
1940-05-24-0002,5100170292589040
2014-10-01-0040,5100176059539193
1938-01-22-0028,5100175497684454
1921-11-13-0023,5100139171504008
2008-03-04-0007,5100143716855230
1960-06-29-0018,5100176843773819
2003-10-21-0034,5100170292589040
1920-08-20-0016,5100147108134542
1902-05-03-0006,5100140713963710
1971-08-15-0025,5100174290682393
1980-12-09-0013,5100173919196082
1947-02-05-0012,5100170292589040
2008-07-26-0019,5100175854119409
2019-01-01-0027,5100134820916307
1972-06-29-0039,5100176843773819
1938-07-25-0014,5100149528096608
1939-04-12-0022,5100136035476142
1940-06-24-0030,5100143716855230
1994-08-26-0029,5100136474971488
1983-07-24-0033,5100143342926116
1925-01-16-0005,5100148070294587
1921-02-09-0011,5100176843773819
1963-09-28-0015,5100140102378546
1970-11-08-0020,5100140713963710
1931-05-14-0004,5100175497684454
1975-04-14-0036,5100134820916307
2017-10-30-0035,5100175854119409
1910-09-27-7834,5100141444482194
1940-05-24-0002,5100140713963710
2015-09-17-0003,5100143342926116
2014-10-01-0040,5100140713963710
2016-11-14-0038,5100176059539193
2008-03-04-0007,5100137483647388
1960-06-29-0018,5100149528096608
1920-08-20-0016,5100139171504008
1910-04-10-0032,5100130003850628
1902-05-03-0006,5100143342926116
1971-08-15-0025,5100137483647388
2013-10-29-0031,5100148070294587
1980-12-09-0013,5100148070294587
1947-02-05-0012,5100148070294587
2008-07-26-0019,5100178236803880
2019-01-01-0027,5100143342926116
1982-02-08-0026,5100147108134542
1982-03-23-0001,5100130003850628
1979-02-12-0010,5100137483647388
1939-04-12-0022,5100179457607877
1940-06-24-0030,5100134495803228
1994-08-26-0029,5100139171504008
1983-07-24-0033,5100176843773819
1930-01-10-0037,5100170292589040
1921-02-09-0011,5100140553753288
1963-09-28-0015,5100175497684454
1970-11-08-0020,5100135736184724
1931-05-14-0004,5100176843773819
1975-04-14-0036,5100177720106768
2017-10-30-0035,5100175497684454
1940-05-24-0002,5100173919196082
2015-09-17-0003,5100136035476142
2014-10-01-0040,5100143342926116
1938-01-22-0028,5100139171504008
1908-01-02-0017,5100131591657011
2016-11-14-0038,5100145287738802
2008-03-04-0007,5100176059539193
1960-06-29-0018,5100143716855230
2003-10-21-0034,5100135736184724
1920-08-20-0016,5100173919196082
1902-05-03-0006,5100179457607877
1971-08-15-0025,5100145287738802
1980-12-09-0013,5100133454026508
1947-02-05-0012,5100176059539193
2008-07-26-0019,5100148070294587
2019-01-01-0027,5100132678004333
1972-06-29-0039,5100172737751284
1982-02-08-0026,5100145287738802
1979-02-12-0010,5100134458786071
1939-04-12-0022,5100135736184724
1940-06-24-0030,5100175497684454
1905-09-20-0008,5100178236803880
1994-08-26-0029,5100173919196082
1983-07-24-0033,5100141444482194
1930-01-10-0037,5100177720106768
1973-08-07-0024,5100176843773819
1921-02-09-0011,5100143509026924
1963-09-28-0015,5100141444482194
1970-11-08-0020,5100179457607877
1975-04-14-0036,5100175854119409
2017-10-30-0035,5100140102378546
1910-09-27-7834,5100179457607877
1940-05-24-0002,5100136435344635
1932-05-25-0021,5100134820916307
1908-01-02-0017,5100130003850628
2016-11-14-0038,5100139171504008
1921-11-13-0023,5100174100138222
2008-03-04-0007,5100149547934623
1960-06-29-0018,5100145287738802
2003-10-21-0034,5100132678004333
1920-08-20-0016,5100149528096608
1910-04-10-0032,5100136435344635
1902-05-03-0006,5100178236803880
1971-08-15-0025,5100179457607877
2013-10-29-0031,5100172737751284
1980-12-09-0013,5100135736184724
1947-02-05-0012,5100139171504008
2008-07-26-0019,5100177720106768
2019-01-01-0027,5100144154178960
1972-06-29-0039,5100140102378546
1982-02-08-0026,5100140102378546
1982-03-23-0001,5100134495803228
1938-07-25-0014,5100175854119409
1940-06-24-0030,5100145287738802
1994-08-26-0029,5100178236803880
1925-01-16-0005,5100176059539193
1930-01-10-0037,5100131591657011
1973-08-07-0024,5100147108134542
1921-02-09-0011,5100136474971488
1963-09-28-0015,5100133759460212
1975-04-14-0036,5100141444482194
2017-10-30-0035,5100173919196082
1910-09-27-7834,5100149528096608
1940-05-24-0002,5100174290682393
2014-10-01-0040,5100136474971488
1932-05-25-0021,5100139171504008
1938-01-22-0028,5100176843773819
1908-01-02-0017,5100174290682393
2016-11-14-0038,5100131306731994
2008-03-04-0007,5100134495803228
1960-06-29-0018,5100136435344635
2003-10-21-0034,5100172538567152
1902-05-03-0006,5100175497684454
1980-12-09-0013,5100172737751284
2008-07-26-0019,5100147108134542
2019-01-01-0027,5100172538567152
1972-06-29-0039,5100133759460212
1982-02-08-0026,5100177720106768
1982-03-23-0001,5100148070294587
1979-02-12-0010,5100132678004333
1939-04-12-0022,5100141101316677
1940-06-24-0030,5100132678004333
1994-08-26-0029,5100174100138222
1930-01-10-0037,5100174290682393
1973-08-07-0024,5100140713963710
1921-02-09-0011,5100136435344635
1963-09-28-0015,5100131306731994
1970-11-08-0020,5100141444482194
1931-05-14-0004,5100140553753288
1975-04-14-0036,5100139171504008
2017-10-30-0035,5100133759460212
1910-09-27-7834,5100172538567152
1940-05-24-0002,5100149547934623
2015-09-17-0003,5100172737751284
2014-10-01-0040,5100179457607877
1932-05-25-0021,5100176059539193
1938-01-22-0028,5100172737751284
2016-11-14-0038,5100131591657011
1921-11-13-0023,5100145287738802
2008-03-04-0007,5100145287738802
1960-06-29-0018,5100132678004333
2003-10-21-0034,5100143509026924
1920-08-20-0016,5100133759460212
1910-04-10-0032,5100134495803228
1902-05-03-0006,5100149528096608
1971-08-15-0025,5100172737751284
2013-10-29-0031,5100134458786071
1980-12-09-0013,5100175497684454
2008-07-26-0019,5100149547934623
2019-01-01-0027,5100172737751284
1982-03-23-0001,5100140553753288
1938-07-25-0014,5100140553753288
1979-02-12-0010,5100144154178960
1940-06-24-0030,5100172737751284
1905-09-20-0008,5100131306731994
1983-07-24-0033,5100174290682393
1925-01-16-0005,5100134495803228
1973-08-07-0024,5100136474971488
1921-02-09-0011,5100140713963710
1970-11-08-0020,5100136474971488
1975-04-14-0036,5100136474971488
1910-09-27-7834,5100134820916307
2015-09-17-0003,5100174290682393
1932-05-25-0021,5100172538567152
1938-01-22-0028,5100149547934623
1908-01-02-0017,5100143716855230
2016-11-14-0038,5100143509026924
1921-11-13-0023,5100176059539193
2003-10-21-0034,5100149528096608
1920-08-20-0016,5100136035476142
1902-05-03-0006,5100136035476142
2013-10-29-0031,5100143509026924
1980-12-09-0013,5100174290682393
1947-02-05-0012,5100172538567152
2008-07-26-0019,5100145287738802
1972-06-29-0039,5100134495803228
1982-02-08-0026,5100175854119409
1938-07-25-0014,5100134458786071
1979-02-12-0010,5100149547934623
1939-04-12-0022,5100145287738802
1940-06-24-0030,5100130003850628
1905-09-20-0008,5100136435344635
1994-08-26-0029,5100133759460212
1983-07-24-0033,5100149528096608
1925-01-16-0005,5100133454026508
1930-01-10-0037,5100175497684454
1973-08-07-0024,5100143509026924
1963-09-28-0015,5100175854119409
1975-04-14-0036,5100131591657011
2017-10-30-0035,5100143716855230
2014-10-01-0040,5100130003850628
1932-05-25-0021,5100131591657011
1938-01-22-0028,5100133759460212
1908-01-02-0017,5100136474971488
2016-11-14-0038,5100136435344635
2003-10-21-0034,5100173919196082
1971-08-15-0025,5100136435344635
1980-12-09-0013,5100149528096608
1947-02-05-0012,5100136035476142
1972-06-29-0039,5100136474971488
1982-02-08-0026,5100140553753288
1982-03-23-0001,5100149528096608
1938-07-25-0014,5100179457607877
1979-02-12-0010,5100176059539193
1939-04-12-0022,5100143342926116
1940-06-24-0030,5100149528096608
1905-09-20-0008,5100136474971488
1994-08-26-0029,5100175497684454
1983-07-24-0033,5100135736184724
1925-01-16-0005,5100178236803880
1930-01-10-0037,5100140102378546
1921-02-09-0011,5100136035476142
1970-11-08-0020,5100134458786071
1975-04-14-0036,5100174100138222
2017-10-30-0035,5100136435344635
1910-09-27-7834,5100141101316677
2015-09-17-0003,5100140102378546
2014-10-01-0040,5100134495803228
1932-05-25-0021,5100140713963710
1938-01-22-0028,5100172538567152
1908-01-02-0017,5100176059539193
2016-11-14-0038,5100148070294587
1921-11-13-0023,5100172538567152
2003-10-21-0034,5100134495803228
1920-08-20-0016,5100134495803228
1910-04-10-0032,5100136474971488
2013-10-29-0031,5100140102378546
1980-12-09-0013,5100140553753288
1947-02-05-0012,5100143342926116
2008-07-26-0019,5100136035476142
2019-01-01-0027,5100175854119409
1972-06-29-0039,5100143716855230
1982-02-08-0026,5100133759460212
1982-03-23-0001,5100172538567152
1938-07-25-0014,5100134495803228
1940-06-24-0030,5100174100138222
1994-08-26-0029,5100141444482194
1925-01-16-0005,5100175497684454
1930-01-10-0037,5100132678004333
1973-08-07-0024,5100143716855230
1921-02-09-0011,5100174290682393
1963-09-28-0015,5100179457607877
1975-04-14-0036,5100134495803228
2017-10-30-0035,5100134495803228
1910-09-27-7834,5100178236803880
2014-10-01-0040,5100144154178960
1932-05-25-0021,5100144154178960
1938-01-22-0028,5100174100138222
1908-01-02-0017,5100144154178960
1921-11-13-0023,5100131591657011
2008-03-04-0007,5100130003850628
2003-10-21-0034,5100145287738802
1920-08-20-0016,5100136435344635
1910-04-10-0032,5100143716855230
1980-12-09-0013,5100176059539193
1947-02-05-0012,5100174100138222
2019-01-01-0027,5100149528096608
1972-06-29-0039,5100134458786071
1982-02-08-0026,5100172538567152
1982-03-23-0001,5100175854119409
1979-02-12-0010,5100133759460212
1940-06-24-0030,5100149547934623
1905-09-20-0008,5100134458786071
1994-08-26-0029,5100170292589040
1983-07-24-0033,5100140713963710
1973-08-07-0024,5100133759460212
1931-05-14-0004,5100179457607877
2017-10-30-0035,5100135736184724
1910-09-27-7834,5100145287738802
2015-09-17-0003,5100139171504008
1932-05-25-0021,5100149547934623
1908-01-02-0017,5100140713963710
2016-11-14-0038,5100176843773819
2008-03-04-0007,5100148070294587
1960-06-29-0018,5100172538567152
2003-10-21-0034,5100131591657011
1910-04-10-0032,5100143509026924
1971-08-15-0025,5100135736184724
2013-10-29-0031,5100149528096608
1980-12-09-0013,5100136435344635
1947-02-05-0012,5100140102378546
2008-07-26-0019,5100130003850628
2019-01-01-0027,5100141444482194
1982-03-23-0001,5100170292589040
1938-07-25-0014,5100145287738802
1939-04-12-0022,5100143716855230
1940-06-24-0030,5100133759460212
1930-01-10-0037,5100133454026508
1973-08-07-0024,5100131306731994
1921-02-09-0011,5100173919196082
1963-09-28-0015,5100136035476142
1931-05-14-0004,5100136035476142
1975-04-14-0036,5100133454026508
1910-09-27-7834,5100136035476142
1940-05-24-0002,5100143509026924
2015-09-17-0003,5100135736184724
1932-05-25-0021,5100136435344635
1938-01-22-0028,5100131591657011
1908-01-02-0017,5100141101316677
1921-11-13-0023,5100131306731994
2003-10-21-0034,5100141101316677
1920-08-20-0016,5100143342926116
1910-04-10-0032,5100172737751284
2013-10-29-0031,5100135736184724
1947-02-05-0012,5100136474971488
2008-07-26-0019,5100131591657011
2019-01-01-0027,5100131591657011
1972-06-29-0039,5100174100138222
1982-02-08-0026,5100134495803228
1979-02-12-0010,5100148070294587
1940-06-24-0030,5100135736184724
1905-09-20-0008,5100133454026508
1994-08-26-0029,5100136435344635
1983-07-24-0033,5100144154178960
1925-01-16-0005,5100177720106768
1973-08-07-0024,5100174290682393
1970-11-08-0020,5100175497684454
1931-05-14-0004,5100137483647388
1975-04-14-0036,5100131306731994
1940-05-24-0002,5100135736184724
2015-09-17-0003,5100174100138222
1932-05-25-0021,5100172737751284
1908-01-02-0017,5100172538567152
2016-11-14-0038,5100174290682393
1921-11-13-0023,5100174290682393
1920-08-20-0016,5100137483647388
1910-04-10-0032,5100145287738802
1971-08-15-0025,5100131306731994
2013-10-29-0031,5100140553753288
1980-12-09-0013,5100137483647388
1947-02-05-0012,5100136435344635
2008-07-26-0019,5100175497684454
2019-01-01-0027,5100137483647388
1972-06-29-0039,5100131591657011
1938-07-25-0014,5100147108134542
1979-02-12-0010,5100179457607877
1939-04-12-0022,5100175854119409
1905-09-20-0008,5100174100138222
1983-07-24-0033,5100134495803228
1925-01-16-0005,5100139171504008
1930-01-10-0037,5100136474971488
1973-08-07-0024,5100177720106768
1970-11-08-0020,5100176843773819
1931-05-14-0004,5100134495803228
1975-04-14-0036,5100176843773819
2017-10-30-0035,5100131306731994
1910-09-27-7834,5100144154178960
1940-05-24-0002,5100136474971488
2015-09-17-0003,5100141101316677
1932-05-25-0021,5100131306731994
1938-01-22-0028,5100175854119409
2003-10-21-0034,5100176059539193
1910-04-10-0032,5100132678004333
1902-05-03-0006,5100174100138222
2013-10-29-0031,5100170292589040
1980-12-09-0013,5100141101316677
1947-02-05-0012,5100130003850628
2008-07-26-0019,5100173919196082
1982-03-23-0001,5100179457607877
1979-02-12-0010,5100134495803228
1939-04-12-0022,5100134495803228
1940-06-24-0030,5100148070294587
1905-09-20-0008,5100143342926116
1983-07-24-0033,5100131591657011
1973-08-07-0024,5100175497684454
1921-02-09-0011,5100141444482194
1963-09-28-0015,5100149547934623
1970-11-08-0020,5100173919196082
1931-05-14-0004,5100131306731994
2017-10-30-0035,5100149547934623
1910-09-27-7834,5100140102378546
1940-05-24-0002,5100136035476142
2014-10-01-0040,5100136035476142
1938-01-22-0028,5100178236803880
1908-01-02-0017,5100175497684454
2016-11-14-0038,5100134495803228
1921-11-13-0023,5100140713963710
2003-10-21-0034,5100134458786071
1920-08-20-0016,5100149547934623
1910-04-10-0032,5100135736184724
1902-05-03-0006,5100143716855230
1971-08-15-0025,5100176059539193
1947-02-05-0012,5100178236803880
2008-07-26-0019,5100143509026924
2019-01-01-0027,5100174290682393
1972-06-29-0039,5100175854119409
1938-07-25-0014,5100172737751284
1979-02-12-0010,5100140713963710
1940-06-24-0030,5100136035476142
1994-08-26-0029,5100172737751284
1925-01-16-0005,5100141444482194
1930-01-10-0037,5100149528096608
1973-08-07-0024,5100135736184724
1970-11-08-0020,5100131306731994
1975-04-14-0036,5100179457607877
1910-09-27-7834,5100136474971488
1940-05-24-0002,5100140102378546
2015-09-17-0003,5100130003850628
2014-10-01-0040,5100134458786071
1932-05-25-0021,5100137483647388
2016-11-14-0038,5100140713963710
1921-11-13-0023,5100176843773819
2008-03-04-0007,5100136474971488
1960-06-29-0018,5100133454026508
1920-08-20-0016,5100177720106768
1902-05-03-0006,5100177720106768
2013-10-29-0031,5100134820916307
2008-07-26-0019,5100136435344635
1972-06-29-0039,5100172538567152
1982-02-08-0026,5100144154178960
1982-03-23-0001,5100139171504008
1938-07-25-0014,5100143509026924
1979-02-12-0010,5100140102378546
1939-04-12-0022,5100140102378546
1940-06-24-0030,5100174290682393
1905-09-20-0008,5100175854119409
1994-08-26-0029,5100174290682393
1983-07-24-0033,5100149547934623
1973-08-07-0024,5100179457607877
1963-09-28-0015,5100134495803228
1931-05-14-0004,5100132678004333
1975-04-14-0036,5100170292589040
1940-05-24-0002,5100140553753288
2014-10-01-0040,5100134820916307
1932-05-25-0021,5100177720106768
1938-01-22-0028,5100132678004333
2016-11-14-0038,5100141444482194
1921-11-13-0023,5100149547934623
2008-03-04-0007,5100136435344635
1910-04-10-0032,5100174100138222
1902-05-03-0006,5100131306731994
2019-01-01-0027,5100134495803228
1972-06-29-0039,5100175497684454
